Tiêu đề,Tên FR,Hiện trạng,Thay đổi / Mô Tả,Role,Người làm tài liệu ,Code,Note,Đã thực hiện xong tài liệu 
3.2,Authentication,,,,,,,
3.2.1,Sign Up,,Người dùng đăng nhập bằng email có verify OTP để coi email thật và check lỗi email viết hoa chữ đầu hay không thì cũng chung 1 tk ,GUEST,Lộc,Trung,,
3.2.2,Sign In With Email ,,Đăng nhập không cần gửi OTP ,GUEST,Lộc,Trung,,
3.2.3,Sign In with Google OAuth,,Coi lại login hiện tại vẫn chưa chạy được ,GUEST,Lộc,Trung,,
3.2.4,Reset Password,,Đổi mật khẩu khi người dùng quên sẽ gửi một link đổi mật khẩu hoặc một mã OTP đến để người dùng xác nhận rồi thay đổi,USER,Lộc,Trung,,
3.2.5,Change Password,,"Thay đổi mật khẩu, nhớ là thay đổi phải có confirm lại ",USER,Lộc,Trung,,
3.2.6,OTP Verification,,Màn hình điền OTP,USER,Lộc,Trung,,
3.2.7,"Two-Factor Authentication (2FA, TOTP)",,"Hiện tại đang có hiện trạng xác nhận 2 cách là scan QR bỏ vào app Authen và Nhập mã OTP 
Nên bỏ cái copy của secret key và cái backup codes",USER,Lộc,Trung,,
3.2.8,Sign Out ,,Đăng xuất nhưng phải lưu thông tin nền tảng last used lại để họ đăng nhập tiện hơn ,USER,Lộc,Trung,,
3.2.9,Delete Account ,,Xóa mềm,USER,Lộc,Trung,,
3.3,Profile,,,,,,,
3.3.1,View User Profile,,sẽ cần những filed nào ?,USER,Trung,Trung,,
3.3.2,Update User Profile,,Chuyển thành 1 FR là Update Profile,USER,Trung,Trung,,
3.3.3,View Client Profile,,Khi người dùng là client thì sẽ có thêm một profile để giúp khi tham gia các workspace khác với vai trò là một client thì không cần phải cập nhật lại các thông tin của họ và chỉ cần sử dụng các profile cũ ,USER,Trung,Trung,,
3.3.4,Update Client profile,,ko được update email ,USER,Trung,Trung,,
3.4,Agency & Workspace,,,,,,,
3.4.1,List Agency,,Mỗi người dùng đều là chủ của các Agency nên họ có trang để list ra các Agency họ đang sở hữu ( là các agency mà họ chính là owner),USER,Trung,Trung,,
3.4.2,View Agency Dashboard,,"Coi được các thông tin của công ty, biểu đồ phân tích công việc, ...",OWNER,Trung,Trung,,
3.4.3,Create Agency,,Có owner id được liên kết với id của một user duy nhất là người tạo ra agency đó ,USER,Trung,Trung,,
3.4.4,View Agency Profile ,,Coi thông tin của công ty và đó là công ty đại điện để khách hàng có thể hiểu được thôgn tin về công ty ,OWNER/MEMBER,Trung,Trung,,
3.4.5,Update Agency Profile ,,Update thông tin ,OWNER,Trung,Trung,,
3.4.6,Remove Agency,,"Xóa có confirm xóa hay không nhưng chỉ là xóa mềm, có thể khôi phục lại trong 30 ngày ",OWNER,Trung,Trung,,
3.4.7,Invite Agency Member,,Qua mail và qua thông báo -> khi mời vào trong công ty thì một người không có role gì trong công ty cả: chỉ là một member thông thường còn người thành lập ban đầu có role là owner,OWNER,Trung,Trung,,
3.4.8,View Agency Invitation Status,,"Khi thêm người vào trong agency thì người được thêm và người thêm có thể thấy được lời mời, nó sẽ tự hết hạng trong 3 ngày ",OWNER/USER(invited),Trung,Trung,,
