No.,UC ID,Module,Use Case Name,Actor(s),Short Description,Related FR,,,,,
1,UC-01,Authentication,Sign Up,GUEST,User registers a new account with email; system sends an OTP to verify the email is real.,"3.2.1, 3.2.6",,,,,
2,UC-02,Authentication,Sign In with Email,GUEST,"Sign in directly with registered email/password, no OTP required.",3.2.2,,,,,
3,UC-03,Authentication,Sign In with Google OAuth,GUEST,Quick sign-in via a Google account.,3.2.3,,,,,
4,UC-04,Authentication,Forgot & Reset Password,GUEST/USER,Send a reset link or OTP for the user to confirm and set a new password when forgotten.,3.2.4,,,,,
5,UC-05,Authentication,Change Password,USER,"Change the current password, requiring re-confirmation before saving.",3.2.5,,,,,
6,UC-06,Authentication,Enable/Disable Two-Factor Authentication (2FA),USER,Enable or disable 2FA via QR scan (TOTP) or OTP code.,3.2.7,,,,,
7,UC-07,Authentication,Sign Out,USER,"Sign out of the system, saving the last-used platform for easier future sign-in.",3.2.8,,,,,
8,UC-08,Authentication,Deactivate Account,USER,Soft-delete the user's account upon request.,3.2.9,,,,,
9,UC-09,Profile,View Personal Profile,USER,View the user's personal profile information.,3.3.1,,,,,
10,UC-10,Profile,Update Personal Profile,USER,Update the user's personal profile information.,3.3.2,,,,,
11,UC-11,Profile,View Client Profile,USER (Client),View the dedicated profile used when joining a workspace in the Client role.,3.3.3,,,,,
12,UC-12,Profile,Update Client Profile,USER (Client),Update the Client profile (email field cannot be edited).,3.3.4,,,,,
13,UC-13,Agency & Workspace,View Agency List & Dashboard,OWNER,View the list of Agencies owned and the overview dashboard for each Agency.,"3.4.1, 3.4.2",,,,,
14,UC-14,Agency & Workspace,Create Agency,OWNER,"Create a new Agency, linked to the owner's account.",3.4.3,,,,,
15,UC-15,Agency & Workspace,View Agency Profile,OWNER,View the Agency's representative profile information.,3.4.4,,,,,
16,UC-16,Agency & Workspace,Update Agency Profile,OWNER,Update the Agency's representative profile information.,3.4.5,,,,,
17,UC-17,Agency & Workspace,Delete Agency,OWNER,Soft-delete an Agency with confirmation; recoverable within 30 days.,3.4.6,,,,,
18,UC-18,Agency & Workspace,Invite Agency Member,OWNER,Invite a new member into the Agency via email/notification.,3.4.7,,,,,
19,UC-19,Agency & Workspace,View Agency Invitation Status,OWNER,Track the status of a sent invitation (invitation expires after 3 days).,3.4.8,,,,,
20,UC-20,Agency & Workspace,Remove Agency Member,OWNER,Remove an existing member from the Agency.,3.4.9,,,,,
21,UC-21,Agency & Workspace,View Workspace List & Dashboard,OWNER/MEMBER,View the list of Workspaces and the overview/statistics for each Workspace.,"3.4.10, 3.4.11",,,,,
22,UC-22,Agency & Workspace,Create Workspace,OWNER/MANAGER,Create a new Workspace and assign a Manager to it.,3.4.12,,,,,
23,UC-23,Agency & Workspace,View Workspace Profile,OWNER/MANAGER,"View the Workspace's profile information, including Timezone configuration.",3.4.13,,,,,
24,UC-24,Agency & Workspace,Update Workspace Profile,OWNER/MANAGER,"Update the Workspace's profile information, including Timezone configuration.",3.4.14,,,,,
25,UC-25,Agency & Workspace,Delete Workspace,OWNER,"Delete a Workspace (recoverable within 30 days), moving related data to an inactive state.",3.4.15,,,,,
26,UC-26,Agency & Workspace,Leave Workspace,MEMBER,A member leaves a specific Workspace while remaining part of the Agency.,3.4.16,,,,,
27,UC-27,Agency & Workspace,Save Workspace Template,OWNER,Save the current Workspace configuration as a template for reuse.,3.4.17,,,,,
28,UC-28,Agency & Workspace,View Workspace Members,OWNER/MANAGER,View the list of members belonging to a Workspace.,3.4.18,,,,,
29,UC-29,Agency & Workspace,Add Workspace Member,OWNER/MANAGER,Add an Agency member into a Workspace with an assigned role.,3.4.19,,,,,
30,UC-30,Agency & Workspace,Update Workspace Member Role,OWNER/MANAGER,Update the role of an existing Workspace member.,3.4.20,,,,,
31,UC-31,Agency & Workspace,Remove Workspace Member,OWNER/MANAGER,Remove a member from the Workspace.,3.4.21,,,,,
32,UC-32,Media Package & Compaign,Create Media Package Template,OWNER/MANAGER,"Choose from pre-built media package templates created by Admin, or customize a new package for the Agency.",3.5.1,,,,,
33,UC-33,Media Package & Compaign,View Media Package Template,CLIENT,"Client views the sample media strategy templates (scope, staffing, duration) provided by the Agency.",3.5.2,,,,,
34,UC-34,Media Package & Compaign,Negotiate & Request Media Package,CLIENT/OWNER/MANAGER,"Client submits change requests (price, timeline, format) on a sample package; Owner/Manager respond until both sides finalize the package.",3.5.3,,,,,
35,UC-35,Media Package & Compaign,Approve Media Package,OWNER/MANAGER/CLIENT,Both parties confirm agreement on the finalized media package.,3.5.4,,,,,
36,UC-36,Media Package & Compaign,Create Media Campaign,OWNER/MANAGER/CLIENT,"Build a detailed execution strategy tailored to the client's brand, based on the selected media package.",3.5.5,,,,,
37,UC-37,Media Package & Compaign,Approve & Launch Media Campaign,OWNER/MANAGER/CLIENT,"Once both parties agree, push all campaign work items into the Workspace backlog.",3.5.6,,,,,
38,UC-38,Media Package & Compaign,Create Content Request,CLIENT,"Client creates a new content request, pending Manager review before work is assigned.",3.5.7,,,,,
39,UC-39,Media Package & Compaign,Process Content Request Status,MANAGER,Manager updates request status (pending → in progress → accepted/denied) and moves it into the backlog upon acceptance.,3.5.8,,,Authentication,8,9
40,UC-40,Media Package & Compaign,Update Content Request,CLIENT,Client edits their own content request while it is still in pending status.,3.5.9,,,Profile,2,4
41,UC-41,Media Package & Compaign,Cancel Content Request,CLIENT,Client cancels their own content request while it is still in pending status.,3.5.10,,,Agency & Workspace,10,21
42,UC-42,Content & Workflow,Define Task Detail,MANAGER,"Add full details (due date, detailed requirements) to a task pulled from the backlog.",3.6.1,,,Media Package & Contract,9,10
43,UC-43,Content & Workflow,Assign Task to Creator,MANAGER,Assign a defined task to the Creator responsible for it.,3.6.2,,,Content & Workflow,13,35
44,UC-44,Content & Workflow,Comment on Task,CREATOR/CLIENT/MANAGER,Add comments and edit requests on a task.,3.6.3,,,AI Features,9,12
45,UC-45,Content & Workflow,View Tasks in Multiple Views,CREATOR/CLIENT/MANAGER,"View the task list as List, Calendar, Gantt Timeline, or Kanban Board.","3.6.4, 3.6.5, 3.6.6, 3.6.7",,,Publishing & Social,7,16
46,UC-46,Content & Workflow,Filter & Search Tasks,CREATOR/CLIENT/MANAGER,"Filter, sort, and search tasks by any data field across all view types.",3.6.8,,,Subscription,5,7
47,UC-47,Content & Workflow,Task Approval Sequence,CREATOR/CLIENT/MANAGER,Approve tasks in a hierarchy of Creator → Manager → Client; a rejection sends it back to the initial Creator step.,3.6.9,,,Admin Management,7,11
48,UC-48,Content & Workflow,Write Content,CREATOR,Write text content with automatic font conversion for publishing.,3.6.10,,,TỔNG CỘNG,70,125
49,UC-49,Content & Workflow,View Content Version History,CREATOR,View and restore previous versions of written content.,3.6.35,,,,,
50,UC-50,Content & Workflow,View Material Repository,CREATOR/CLIENT,"View the repository of materials (raw/retouched photos, client-provided brand assets).",3.6.11,,,,,
51,UC-51,Content & Workflow,Add Material to Repository,CREATOR/CLIENT,Upload a new material into the repository.,3.6.12,,,,,
52,UC-52,Content & Workflow,Update Material in Repository,CREATOR/CLIENT,Update an existing material's information in the repository.,3.6.13,,,,,
53,UC-53,Content & Workflow,Delete Material from Repository,CREATOR/CLIENT,Remove a material from the repository.,3.6.14,,,,,
54,UC-54,Content & Workflow,Apply Watermark to Material,CREATOR,Apply a brand watermark onto a material.,3.6.15,,,,,
55,UC-55,Content & Workflow,Download Material,CREATOR/CLIENT,Download a material from the repository to a local device.,3.6.16,,,,,
56,UC-56,Content & Workflow,Apply Hashtag to Post,CREATOR,Attach one or more hashtags to a post or campaign.,3.6.17,,,,,
57,UC-57,Content & Workflow,View Hashtag Collection,CREATOR/CLIENT,View the Workspace's saved hashtag collection.,3.6.18,,,,,
58,UC-58,Content & Workflow,Add Hashtag to Collection,CREATOR,Add a new hashtag to the Workspace's hashtag collection.,3.6.19,,,,,
59,UC-59,Content & Workflow,Update Hashtag Collection,CREATOR,Update an existing hashtag in the collection.,3.6.20,,,,,
60,UC-60,Content & Workflow,Delete Hashtag from Collection,CREATOR,Soft-delete a hashtag from the collection.,3.6.21,,,,,
61,UC-61,Content & Workflow,Write Livestream Idea,MANAGER/CREATOR,Fill in the initial idea/concept for a livestream session.,3.6.22,,,,,
62,UC-62,Content & Workflow,Write Livestream Script,CREATOR,Write the full script for a livestream session.,3.6.23,,,,,
63,UC-63,Content & Workflow,Track Livestream Status,MANAGER,Track the progress/status of a livestream session.,3.6.24,,,,,
64,UC-64,Content & Workflow,Create Survey,CREATOR/MANAGER,Create a survey for a workshop or campaign.,3.6.25,,,,,
65,UC-65,Content & Workflow,View Survey Analysis,CREATOR/MANAGER,View the overall analysis of survey results.,3.6.26,,,,,
66,UC-66,Content & Workflow,Generate Meeting Link,CREATOR,Automatically generate a Google Meet link for a meeting.,3.6.27,,,,,
67,UC-67,Content & Workflow,View Email Template,MANAGER/CREATOR,View the list of saved email templates.,3.6.28,,,,,
68,UC-68,Content & Workflow,Create Email Template,MANAGER/CREATOR,Create a new email template.,3.6.29,,,,,
69,UC-69,Content & Workflow,Update Email Template,MANAGER/CREATOR,Update an existing email template.,3.6.30,,,,,
70,UC-70,Content & Workflow,Delete Email Template,MANAGER/CREATOR,Delete an existing email template.,3.6.31,,,,,
71,UC-71,Content & Workflow,Send Email via Template,MANAGER/CREATOR,Send an email to a recipient using a selected template.,3.6.32,,,,,
72,UC-72,Content & Workflow,Check Content Compliance,CREATOR/CLIENT,"Check content for plagiarism, violence, or explicit imagery via a third-party API.",3.6.33,,,,,
73,UC-73,Content & Workflow,Check Copyright Infringement,CREATOR/CLIENT,Check images/brand assets for copyright infringement via a third-party API.,3.6.34,,,,,
74,UC-74,AI Features,View Trending Topics & Hashtag Suggestions,CREATOR,View a dashboard of current trending keywords and suggested trending hashtags.,"3.7.1, 3.7.10",,,,,
75,UC-75,AI Features,Generate Caption with AI,CREATOR,Use an LLM and prompt to generate a caption for a post.,3.7.2,,,,,
76,UC-76,AI Features,Generate AI Brand Ambassador,CREATOR,"Use an LLM to generate a virtual model/ambassador when the brand has none, used for Image/Video generation.",3.7.3,,,,,
77,UC-77,AI Features,Generate Image with AI,CREATOR,"Select an image style template and generate an image via LLM based on form input, model, and other materials.","3.7.4, 3.7.5",,,,,
78,UC-78,AI Features,Generate Video with AI,CREATOR,Select a video style template and generate a video via LLM/third-party APIs.,"3.7.6, 3.7.7",,,,,
